# Семантическое ядро whalewzrd.com
# Источник: живые поисковые подсказки Google (регионы KZ, UZ, UA, US, DE, AE) и Яндекса, собраны 10.09.2026.
# Это фразы, которые люди печатают в поиск, а не формулировки маркетолога. Частотности здесь нет:
# подсказки её не отдают, а выдуманные числа проекту запрещены. Порядок внутри намерения — алфавитный.
# intent: commercial — готов купить; trust — ищет, кому доверить, или чинит проблему; tool — считает;
#         howto — делает сам; definition — разбирается в терминах; informational — изучает тему.
# page — целевая страница. /blog означает: под запрос нужна статья, а не страница услуги.
# Единичные омонимы («таргетная терапия», «реклама для юбки») отсеяны фильтром не полностью — это остаток,
# а не рекомендация. Перед использованием строку глазами проверяет человек.
query;intent;page;sources
ведение рекламы в директе заказать;commercial;/blog;yandex
ведение рекламы в директе стоимость;commercial;/blog;yandex
ведение рекламы с аналитикой и отчетами;commercial;/blog;yandex
как найти клиентов на услуги;commercial;/blog;google
лидогенерация под ключ;commercial;/blog;yandex
лидогенерация услуги;commercial;/blog;yandex
мебель на заказ реклама;commercial;/blog;yandex
настройка рекламы в директе цена;commercial;/blog;yandex
настройка рекламы под ключ;commercial;/blog;google|yandex
настройка рекламы цена;commercial;/blog;google
реклама для бухгалтерских услуг;commercial;/blog;google
реклама для компьютерных услуг;commercial;/blog;yandex
реклама для услуг;commercial;/blog;google
реклама для юридических услуг;commercial;/blog;yandex
реклама на е1 стоимость;commercial;/blog;yandex
как посчитать стоимость рекламы в инстаграм;commercial;/calculator;google
рассчитать стоимость рекламы в инстаграм;commercial;/calculator;google
сколько стоит ведение контекстной рекламы;commercial;/calculator;google
сколько стоит настройка контекстной рекламы;commercial;/calculator;google|yandex
сколько стоит настройка рекламы;commercial;/calculator;google|yandex
сколько стоит настройка рекламы в вк;commercial;/calculator;google
сколько стоит настройка таргета;commercial;/calculator;yandex
сколько стоит настройка таргетированной рекламы;commercial;/calculator;google
сколько стоит реклама в гугл;commercial;/calculator;yandex
сколько стоит реклама в гугл адс;commercial;/calculator;google
сколько стоит реклама в гугл картах;commercial;/calculator;google
сколько стоит реклама в гугл плей;commercial;/calculator;google
сколько стоит реклама в гугл поиске;commercial;/calculator;google
сколько стоит реклама в гугле;commercial;/calculator;google
сколько стоит реклама в гугле украина;commercial;/calculator;google
сколько стоит реклама в инстаграм;commercial;/calculator;yandex
сколько стоит реклама в инстаграм беларусь;commercial;/calculator;google
сколько стоит реклама в инстаграм в казахстане;commercial;/calculator;yandex
сколько стоит реклама в инстаграм в сторис;commercial;/calculator;google
сколько стоит реклама в инстаграм в тенге;commercial;/calculator;yandex
сколько стоит реклама в инстаграм казахстан;commercial;/calculator;google
сколько стоит реклама в инстаграм на месяц;commercial;/calculator;google
сколько стоит реклама в инстаграм таргет;commercial;/calculator;google
сколько стоит реклама в инстаграм у блоггеров;commercial;/calculator;yandex
сколько стоит реклама в инстаграм у блогера миллионника;commercial;/calculator;google
сколько стоит реклама в инстаграм у блогеров;commercial;/calculator;google
сколько стоит реклама в инстаграм украина;commercial;/calculator;google
сколько стоит реклама в инстаграм через фейсбук;commercial;/calculator;google
сколько стоит реклама в инстаграме;commercial;/calculator;yandex|google
сколько стоит реклама в инстаграме в казахстане;commercial;/calculator;yandex
сколько стоит реклама в инстаграме у блоггеров;commercial;/calculator;yandex
сколько стоит реклама в инстаграме у роналдо;commercial;/calculator;yandex
сколько стоит реклама в инстаграмм;commercial;/calculator;yandex
сколько стоит реклама в инстаграмме;commercial;/calculator;yandex
сколько стоит реклама в инсте;commercial;/calculator;yandex
сколько стоит реклама в фейсбук;commercial;/calculator;google
сколько стоит реклама интернет магазина;commercial;/calculator;google
сколько стоит реклама сайта в гугл;commercial;/calculator;google
сколько стоит реклама сайта в гугле;commercial;/calculator;yandex
сколько стоит реклама у блогеров в инстаграм;commercial;/calculator;yandex
сколько стоит таргет;commercial;/calculator;google|yandex
сколько стоит таргет в вк;commercial;/calculator;google
сколько стоит таргет в инстаграм;commercial;/calculator;google|yandex
сколько стоит таргет реклама;commercial;/calculator;yandex
сколько стоит таргет реклама в вк;commercial;/calculator;yandex
сколько стоит таргет реклама в инстаграм;commercial;/calculator;yandex
сколько стоит таргетированная реклама;commercial;/calculator;google|yandex
сколько стоит таргетированная реклама в вк;commercial;/calculator;google|yandex
сколько стоит таргетированная реклама в вк в месяц;commercial;/calculator;yandex
сколько стоит таргетированная реклама в инстаграм;commercial;/calculator;google
сколько стоит таргетолог;commercial;/calculator;google
сколько стоит таргетолог в вк;commercial;/calculator;google
сколько стоит таргетолог в месяц;commercial;/calculator;google
стоимость лида;commercial;/calculator;google|yandex
стоимость лида аббревиатура;commercial;/calculator;yandex
стоимость лида в маркетинге;commercial;/calculator;google|yandex
стоимость лида в недвижимости;commercial;/calculator;google|yandex
стоимость лида метрика;commercial;/calculator;google
стоимость лида формула;commercial;/calculator;google|yandex
стоимость лида что это;commercial;/calculator;yandex
стоимость лида это;commercial;/calculator;google|yandex
стоимость лида cpl;commercial;/calculator;google
стоимость лидара;commercial;/calculator;google|yandex
стоимость рекламы в инстаграм;commercial;/calculator;google|yandex
стоимость рекламы в инстаграм 2025;commercial;/calculator;google
стоимость рекламы в инстаграм у блогеров;commercial;/calculator;google
стоимость рекламы в инстаграм украина;commercial;/calculator;google
стоимость рекламы в инстаграм цены;commercial;/calculator;yandex
стоимость рекламы в инстаграме;commercial;/calculator;google
стоимость рекламы в instagram;commercial;/calculator;google
стоимость таргет рекламы в инстаграм;commercial;/calculator;google
стоимость таргета в вк;commercial;/calculator;google|yandex
стоимость таргета в инстаграм;commercial;/calculator;google
стоимость таргетированной рекламы в инстаграм;commercial;/calculator;google
стоимость таргетолога;commercial;/calculator;google
стоимость услуг таргетолога;commercial;/calculator;google
таргетолог стоимость услуг;commercial;/calculator;google
цена лида;commercial;/calculator;google|yandex
цена лида в маркетинге;commercial;/calculator;google
цена лида как посчитать;commercial;/calculator;google|yandex
цена лида метрика;commercial;/calculator;google
цена лида формула;commercial;/calculator;google
цена лида это;commercial;/calculator;google|yandex
цена лидамитол;commercial;/calculator;google
цена лидара;commercial;/calculator;google
google ads стоимость рекламы;commercial;/calculator;google
аудит контекстной рекламы заказать;commercial;/consult;yandex
