# Семантическое ядро whalewzrd.com, версия 2 (23.09.2026)
# Источники: v1 — подсказки Google (KZ, UZ, UA, US, DE, AE) и Яндекса от 10.09; v2 — подсказки Google по 15 рынкам
# без России: KZ, UZ, BY, KG, TJ, AM, AZ, MD, UA, GE, IL, DE, US, AE, TR, с усиленными блоками «приложения», «инфобизнес» и 204 нишами.
# Вывод сбора: по русскоязычным запросам Google отдаёт почти одни и те же подсказки во всех странах; по рынкам различаются
# только запросы с гео-модификатором (колонка geo=1). Значит, страну надо закрывать не отдельными страницами, а упоминанием
# рынков в тексте и FAQ — отдельная страница под страну считается scaled content abuse.
# intent: commercial — готов купить; trust — ищет, кому доверить, или чинит проблему; tool — считает; howto — делает сам;
# definition — разбирается в терминах; informational — изучает тему. page — целевая страница; /blog — нужна статья.
# blocks: v1 | base | apps | infobiz | niche — из какого блока семян пришла фраза. regions — где Google её подсказал.
# Частотности нет и не будет: подсказки её не отдают, а выдуманные числа проекту запрещены.
query;intent;page;geo;blocks;regions;sources
ведение рекламы в директе заказать;commercial;/blog;0;v1;;yandex
ведение рекламы в директе стоимость;commercial;/blog;0;v1;;yandex
ведение рекламы с аналитикой и отчетами;commercial;/blog;0;v1;;yandex
как найти клиентов на услуги;commercial;/blog;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
лидогенерация под ключ;commercial;/blog;0;v1;;yandex
лидогенерация услуги;commercial;/blog;0;v1;;yandex
лиды на бухгалтерские услуги;commercial;/blog;0;niche;kz|us|uz;google-v2
мебель на заказ реклама;commercial;/blog;0;v1;;yandex
настройка рекламы в директе цена;commercial;/blog;0;v1;;yandex
настройка рекламы под ключ;commercial;/blog;0;v1;;google|yandex
настройка рекламы цена;commercial;/blog;0;v1;;google
реклама для бухгалтерских услуг;commercial;/blog;0;v1;;google
реклама для компьютерных услуг;commercial;/blog;0;v1;;yandex
реклама для услуг;commercial;/blog;0;v1;;google
реклама для юридических услуг;commercial;/blog;0;v1;;yandex
реклама на е1 стоимость;commercial;/blog;0;v1;;yandex
как посчитать стоимость рекламы в инстаграм;commercial;/calculator;0;v1;;google
метрика стоимость лида;commercial;/calculator;0;base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google-v2
рассчитать стоимость рекламы в инстаграм;commercial;/calculator;0;v1;;google
сколько стоит ведение контекстной рекламы;commercial;/calculator;0;v1;;google
сколько стоит настройка контекстной рекламы;commercial;/calculator;0;v1;;google|yandex
сколько стоит настройка рекламы;commercial;/calculator;0;v1;;google|yandex
сколько стоит настройка рекламы в вк;commercial;/calculator;0;v1;;google
сколько стоит настройка таргета;commercial;/calculator;0;v1;;yandex
сколько стоит настройка таргетированной рекламы;commercial;/calculator;0;v1;;google
сколько стоит реклама в гугл;commercial;/calculator;0;v1;;yandex
сколько стоит реклама в гугл адс;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в гугл картах;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в гугл плей;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в гугл поиске;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в гугле;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в гугле украина;commercial;/calculator;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в инстаграм;commercial;/calculator;0;v1;;yandex
сколько стоит реклама в инстаграм беларусь;commercial;/calculator;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в инстаграм в казахстане;commercial;/calculator;1;v1;;yandex
сколько стоит реклама в инстаграм в сторис;commercial;/calculator;0;v1;;google
сколько стоит реклама в инстаграм в тенге;commercial;/calculator;0;v1;;yandex
сколько стоит реклама в инстаграм казахстан;commercial;/calculator;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в инстаграм на месяц;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в инстаграм таргет;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в инстаграм у блоггеров;commercial;/calculator;0;v1;;yandex
сколько стоит реклама в инстаграм у блогера миллионника;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в инстаграм у блогеров;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в инстаграм украина;commercial;/calculator;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в инстаграм через фейсбук;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама в инстаграме;commercial;/calculator;0;v1;;yandex|google
сколько стоит реклама в инстаграме в казахстане;commercial;/calculator;1;v1;;yandex
сколько стоит реклама в инстаграме у блоггеров;commercial;/calculator;0;v1;;yandex
сколько стоит реклама в инстаграме у роналдо;commercial;/calculator;0;v1;;yandex
сколько стоит реклама в инстаграмм;commercial;/calculator;0;v1;;yandex
сколько стоит реклама в инстаграмме;commercial;/calculator;0;v1;;yandex
сколько стоит реклама в инсте;commercial;/calculator;0;v1;;yandex
сколько стоит реклама в фейсбук;commercial;/calculator;0;v1;;google
сколько стоит реклама интернет магазина;commercial;/calculator;0;v1;;google
